species,original_count,filtered_out_count,final_count
Pseudomonas_aeruginosa,43394,1459,41935
Pseudomonas_marginalis,1077,51,1026
Pseudomonas_alloputida,697,41,656
Pseudomonas_avellanae,453,17,436
Pseudomonas_paracarnis,442,30,412
Pseudomonas_glycinae,206,13,193
Pseudomonas_syringae,200,17,183
Pseudomonas_protegens,199,14,185
Pseudomonas_asiatica,198,12,186
Pseudomonas_putida,169,10,159
Pseudomonas_monteilii,129,9,120
Pseudomonas_fulva,117,9,108
Pseudomonas_fluorescens,108,7,101
Pseudomonas_juntendi,103,11,92
